
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
10800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
10900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
11900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
12900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
